"的","de","possessive, adjectival suffix"
"一","yī","one; a, an; alone"
"是","shì","indeed, yes, right; to be; demonstrative pronoun, this, that"
"不","bù","no, not; un-; negative prefix"
"了","le","to finish; particle of completed action"
"在","zài","be at, in, on; consist in, rest"
"人","rén","man; people; mankind; someone else"
"有","yǒu","have, own, possess; exist"
"我","wǒ","our, us, i, me, my, we"
"他","tā","other, another; he, she, it"
"这","zhè","this, the, here"
"个","gè","numerary adjunct, piece; single"
"们","men","adjunct pronoun indicate plural"
"中","zhōng","central; center, middle; in the midst of; hit (target); attain"
"来","lái","come, coming; return, returning"
"上","shàng","top; superior, highest; go up, send up"
"大","dà","big, great, vast, large, high"
"和","hé","harmony, peace; peaceful, calm"
"国","guó","nation, country, nation-state"
"说","shuō","speak, say, talk; scold, upbraid"
"时","shí","time, season; era, age, period"
"出","chū","go out, send out; stand; produce"
"会","huì","assemble, meet together; meeting"
"你","nǐ","you, second person pronoun"
"对","duì","correct, right; facing, opposed"
"生","shēng","life, living, lifetime; birth"
"能","néng","to be able; can, permitted to; ability"
"子","zi","offspring, child; fruit, seed of; 1st terrestrial branch"
"那","nà","that, that one, those"
"下","xià","under, underneath, below; down; inferior; bring down"
"年","nián"
"后","hòu","queen, empress, sovereign; (simp. for 後) behind, rear, after"
"作","zuò","make; work; compose, write; act, perform"
"里","lǐ","unit of distance; village; lane"
"家","jiā","house, home, residence; family"
"多","duō","much, many; more than, over"
"么","me","interrogative particle; repetition of a tune small; tender"
"去","qù","go away, leave, depart"
"学","xué","learning, knowledge; school"
"都","dōu","metropolis, capital; all, the whole; elegant, refined"
"同","tóng","same, similar; together with"
"现","xiàn","appear, manifest, become visible"
"没","méi","not, have not, none; drown, sink"
"面","miàn","face; surface; plane; side, dimension"
"起","qǐ","rise, stand up; go up; begin"
"看","kàn","look, see; examine, scrutinize"
"天","tiān","sky, heaven; god, celestial"
"分","fēn","divide; small unit of time etc."
"好","hǎo","good, excellent, fine; well"
"小","xiǎo","small, tiny, insignificant"
"些","xiē","little, few; rather, somewhat"
"样","yàng","shape, form, pattern, style"
"她","tā","she, her"
"本","běn","root, origin, source; basis"
"前","qián","in front, forward; preceding"
"开","kāi","open; initiate, begin, start"
"想","xiǎng","think, speculate, plan, consider"
"机","jī","desk; machine; moment"
"十","shí","ten, tenth; complete; perfect"
"工","gōng","labor, work; worker, laborer"
"明","míng","bright, light, brilliant; clear"
"三","sān","three"
"关","guān","frontier pass; close; relation"
"点","diǎn","dot, speck, spot; point, degree"
"高","gāo","high, tall; lofty, elevated"
"很","hěn","very, quite, much"
"见","jiàn","see, observe, behold; perceive"
"什","shén","file of ten soldiers; mixed, miscellaneous"
"二","èr","two; twice"
"果","guǒ","fruit; result"
"西","xī","west(ern); westward, occident"
"月","yuè","moon; month; KangXi radical 74"
"话","huà","speech, talk, language; dialect"
"回","huí","return, turn around; a time"
"老","lǎo","old, aged; experienced"
"先","xiān","first, former, previous"
"儿","ér","son, child; KangXi radical 10"
"东","dōng","east, eastern, eastward"
"水","shuǐ","water, liquid, lotion, juice"
"名","míng","name, rank, title, position"
"几","jǐ","small table"
"认","rèn","recognize, know, understand"
"系","xì","system; line, link, connection"
"气","qì","steam, vapor; KangXi radical 84"
"打","dǎ","strike, hit, beat; fight; attack"
"女","nǚ","woman, girl; feminine; rad. 38"
"四","sì","four"
"电","diàn","electricity; electric; lightning"
"少","shǎo","few, less, inadequate"
"太","tài","very, too, much; big; extreme"
"再","zài","again, twice, re-"
"做","zuò","work, make; act"
"期","qī","period of time; date; time limit"
"五","wǔ","five; surname"
"书","shū","book, letter, document; writings"
"听","tīng","hear; understand; obey, comply"
"住","zhù","reside, live at, dwell, lodge; stop"
"北","běi","north; northern; northward"
"觉","jué","to wake up from sleep; conscious"
"师","shī","teacher, master, specialist"
"今","jīn","now, today, modern era"
"院","yuàn","courtyard, yard, court; school"
"识","shí","recognize, understand, know"
"候","hòu","wait; expect; visit; greet"
"飞","fēi","fly; go quickly; dart; high"
"车","chē","cart, vehicle; carry in cart"
"服","fú","clothes; wear, dress"
"怎","zěn","what? why? how?"
"呢","ne","interrogative or emphatic final; (Cant.) this"
"叫","jiào","cry, shout; hail, greet, call"
"影","yǐng","shadow; image, reflection; photograph"
"字","zì","letter, character, word"
"爱","ài","love, be fond of, like"
"商","shāng","commerce, business, trade"
"请","qǐng","ask, request; invite; please"
"视","shì","look at, inspect, observe, see"
"九","jiǔ","nine"
"写","xiě","write; draw, sketch; compose"
"八","bā","eight; all around, all sides"
"吗","ma","final interrogative particle"
"吃","chī","eat; drink; suffer, endure, bear"
"六","liù","number six"
"医","yī","cure, heal; doctor, medical"
"号","hào","mark, sign; symbol; number"
"语","yǔ","language, words; saying, expression"
"七","qī","seven"
"兴","xìng","thrive, prosper, flourish"
"星","xīng","a star, planet; any point of light"
"京","jīng","capital city"
"米","mǐ","hulled or husked uncooked rice"
"客","kè","guest, traveller; customer"
"友","yǒu","friend, companion; fraternity"
"钱","qián","money, currency, coins"
"热","rè","hot; heat; fever; restless; zeal"
"坐","zuò","sit; seat; ride, travel by"
"校","xiào","school; military field officer"
"脑","nǎo","brain"
"谁","shuí","who? whom? whose? anyone?"
"哪","nǎ","which? where? how?"
"喜","xǐ","like, love, enjoy; joyful thing"
"习","xí","practice; flapping wings"
"欢","huān","happy, pleased, glad; joy; enjoy"
"冷","lěng","cold, cool; lonely"
"汉","hàn","Chinese people; Chinese language"
"衣","yī","clothes, clothing; cover, skin"
"妈","mā","mother, mama"
"读","dú","read, study; pronounce"
"买","mǎi","buy, purchase; bribe, persuade"
"岁","suì","year; age; harvest"
"块","kuài","piece, lump; dollar"
"姐","jiě","elder sister, young lady"
"亮","liàng","bright, brilliant, radiant, light"
"朋","péng","friend, pal, acquaintance"
"谢","xiè","thank; decline"
"钟","zhōng","clock; bell"
"雨","yǔ","rain; rainy; KangXi radical 173"
"饭","fàn","cooked rice; food, meal"
"睡","shuì","sleep, doze"
"喝","hē","drink; shout, call out"
"午","wǔ","noon; 7th terrestrial branch"
"店","diàn","shop, store; inn, hotel"
"爸","bà","father, papa"
"桌","zhuō","table, desk, stand"
"菜","cài","vegetables; dish, order; food"
