"军","jūn","army, military; soldiers, troops"
"战","zhàn","war, fighting, battle"
"政","zhèng","government, political affairs"
"产","chǎn","give birth, bring forth, produce"
"制","zhì","system; establish; overpower"
"代","dài","replace, replacement (of person or generation); era, generation"
"立","lì","stand; let stand; establish, set"
"义","yì","right conduct, righteousness"
"神","shén","spirit, god, supernatural being"
"德","dé","ethics, morality, virtue"
"统","tǒng","govern, command, control; unite"
"形","xíng","form, shape, appearance"
"治","zhì","govern, regulate, administer"
"达","dá","arrive at, reach; intelligent; smooth, slippery"
"强","qiáng","strong, powerful, energetic"
"权","quán","power, right, authority"
"王","wáng","king, ruler; royal; surname"
"设","shè","build; establish; display"
"品","pǐn","article, product, commodity"
"类","lèi","class, group, kind, category"
"领","lǐng","neck; collar; lead, guide"
"造","zào","construct, build, make, begin; prepare"
"组","zǔ","class; section, department"
"英","yīng","petal, flower, leaf; brave, a hero; England, English"
"令","lìng","to order; to command; an order; warrant; virtuous; season"
"布","bù","cotton cloth, textiles, linen"
"未","wèi","not yet; 8th terrestrial branch"
"击","jī","strike, hit, beat; attack, fight"
"兵","bīng","soldier, troops"
"团","tuán","sphere, ball, circle; mass, lump"
"集","jí","assemble, collect together"
"华","huá","flowery; illustrious; Chinese"
"石","shí","stone, rock, mineral; rad. 112"
"府","fǔ","prefecture; prefect; government"
"似","shì","resemble, similar to; as if, seem"
"官","guān","official, public servant"
"器","qì","receptacle, vessel; instrument"
"称","chēng","call; name, brand; address; say"
"企","qǐ","plan a project; stand on tiptoe"
"委","wěi","appoint, send, commission"
"曾","céng","already; sign of past"
"农","nóng","agriculture, farming; farmer"
"装","zhuāng","dress, clothes, attire; fill"
"显","xiǎn","manifest, display; evident, clear"
"念","niàn","think of, recall, study"
"青","qīng","blue, green, black; young"
"武","wǔ","military; martial, warlike"
"势","shì","power, force; tendency"
"古","gǔ","old, classic, ancient"
"构","gòu","frame, building, structure"
"土","tǔ","soil, earth; items made of earth"
"投","tóu","throw, cast, fling, pitch; jump"
"某","mǒu","certain thing or person"
"维","wéi","maintain, preserve, safeguard"
"革","gé","leather, animal hides; rad. 177"
"敌","dí","enemy, foe, rival; resist"
"致","zhì","send, deliver, present; cause"
"派","pài","school of thought, sect, branch"
"营","yíng","encampment, barracks; manage"
"巴","bā","greatly desire, anxiously hope"
"防","fáng","defend; prevent; embankment"
"施","shī","grant, bestow; give; act; name"
"型","xíng","pattern, model, type; law; mold"
"依","yī","rely on, be set in; consent, obey a wish"
"项","xiàng","neck, nape of neck; sum; funds"
"织","zhī","weave, knit; organize, unite"
