地	de	earth; soil, ground; region
而	ér	and; and then; and yet; but
于	yú	in, on, at; go to; surname
自	zì	self, private, personal; from
发	fā	issue, dispatch, send out; hair
用	yòng	use, employ, apply, operate; use
行	xíng	go; walk; move, travel; circulate
种	zhǒng	seed; race, breed; to plant
成	chéng	completed, finished, fixed
方	fāng	a square, rectangle; a region; local
法	fǎ	law, rule, regulation, statute; France, French
如	rú	if, supposing; as if; like, as
当	dāng	bear, accept, undertake; just
定	dìng	decide, settle, fix
其	qí	his, her, its, their; that
主	zhǔ	master, chief owner; host; lord
理	lǐ	reason, logic; manage
心	xīn	heart; mind, intelligence; soul
只	zhǐ	only, just, simply
实	shí	real, true; honest, sincere
者	zhě	that which; he who; those who
力	lì	power, capability, influence
把	bǎ	hold, take; guard; regard as
又	yòu	and, also, again, in addition
业	yè	profession, business; GB radical 111
重	zhòng	heavy, weighty; double
物	wù	thing, substance, creature
应	yīng	should, ought to, must
向	xiàng	toward, direction, trend
头	tóu	head; top; chief, first; boss
文	wén	literature, culture, writing
相	xiāng	mutual, reciprocal, each other
被	bèi	by (passive marker); quilt
或	huò	or, either, else; perhaps, maybe
己	jǐ	self, oneself; personal, private; 6th heavenly stem
加	jiā	add to, increase, augment
特	tè	special, unique, distinguished
信	xìn	trust, believe; letter
化	huà	change, convert, reform; -ize
世	shì	generation; world; era
位	wèi	throne; position, post; rank, status; seat
声	shēng	sound, voice, noise; tone; music
提	tí	hold in hand; lift in hand
解	jiě	loosen, unfasten, untie; explain
口	kǒu	mouth; open end; entrance, gate
平	píng	flat, level, even; peaceful
更	gèng	more, still further, much more
变	biàn	change, transform, alter; rebel
总	zǒng	collect; overall, altogether
数	shù	number; several, count; fate
安	ān	peaceful, tranquil, quiet
才	cái	talent, ability; just, only
结	jié	knot, tie; join, connect
目	mù	eye; look, see; division, topic
感	gǎn	feel, perceive, emotion
接	jiē	receive; continue; catch; connect
必	bì	surely, most certainly; must
市	shì	market, fair; city, town; trade
直	zhí	straight, erect, vertical
山	shān	mountain, hill, peak
空	kōng	empty, hollow, bare, deserted
决	jué	decide, determine, judge
马	mǎ	horse; surname; KangXi radical 187
界	jiè	boundary, limit; domain; society; the world
放	fàng	put, release, free, liberate
像	xiàng	a picture, image, figure; to resemble
且	qiě	moreover, also (post-subject); about to, will soon (pre-verb)
难	nán	difficult, arduous, hard; unable
记	jì	record; keep in mind, remember
南	nán	south; southern part; southward
求	qiú	seek; demand, request; beseech
据	jù	to occupy, take possession of; a base, position
张	zhāng	stretch, extend, expand; sheet
该	gāi	should, ought to, need to
万	wàn	ten thousand; innumerable
清	qīng	clear, pure, clean; peaceful
带	dài	belt, girdle, band, strap, zone
风	fēng	wind; air; manners, atmosphere
根	gēn	root, base(d on); foundation
干	gàn	oppose, offend; invade; dried
极	jí	extreme, utmost, furthest, final
办	bàn	manage, do, handle; deal with
议	yì	consult, talk over, discuss
元	yuán	first; dollar; origin; head
单	dān	single, individual, only; lone
调	diào	transfer, move, change; tune
算	suàn	count, calculate, figure; plan
需	xū	need, require, must
花	huā	flower; blossoms
城	chéng	castle; city, town; municipality
级	jí	level, rank, class; grade
复	fù	return; repeat; repeatedly
满	mǎn	fill; full, satisfied
越	yuè	exceed, go beyond; the more ...
容	róng	looks, appearance; figure, form
照	zhào	shine, illumine, reflect
须	xū	must, have to, necessary
包	bāo	wrap, pack, bundle; package
片	piàn	slice, splinter, strip; rad. 91
史	shǐ	history, chronicle, annals
乎	hū	interrogative or exclamatory final particle
查	chá	investigate, examine, seek into
轻	qīng	light; easy, simple; gentle
易	yì	change; easy
除	chú	eliminate, remove, except
阿	ā	prefix for names/kinship terms
李	lǐ	plum; judge; surname
图	tú	diagram; chart, map, picture
历	lì	history; calendar
突	tū	suddenly, abruptly, unexpectedly
周	zhōu	Zhou dynasty; circumference
较	jiào	compare; comparatively, more
注	zhù	concentrate, focus, direct
选	xuǎn	choose, select; elect; election
响	xiǎng	make sound, make noise; sound
参	cān	take part in, intervene; ginseng
半	bàn	half
节	jié	knot, node, joint; section
护	hù	protect, guard, defend, shelter
音	yīn	sound, tone, pitch, pronunciation
跟	gēn	heel; to follow, accompany; with
留	liú	stop, halt; stay, detain, keep
讲	jiǎng	explain; discuss; talk
料	liào	consider, conjecture; materials, ingredients
终	zhōng	end; finally, in the end
答	dá	answer, reply; return; assent to
黄	huáng	yellow; surname
奇	qí	strange, unusual, uncanny, occult
段	duàn	section, piece, division
故	gù	ancient, old; reason, because
河	hé	river; stream; yellow river
害	hài	injure, harm; destroy, kill
双	shuāng	set of two, pair, couple; both
境	jìng	boundary, frontier; area, region
愿	yuàn	sincere, honest, virtuous
网	wǎng	net; network; KangXi radical 122
育	yù	produce, give birth to; educate
船	chuán	ship, boat, vessel
脸	liǎn	face; cheek; reputation
刻	kè	carve, engrave; quarter hour
刚	gāng	hard, tough, rigid, strong
般	bān	sort, manner, kind, category
怕	pà	to fear, be afraid of; apprehensive
假	jiǎ	falsehood, deception; vacation
久	jiǔ	long time (ago); time passage, grow late
拿	ná	take, hold, grasp; bring; with
阳	yáng	sun; positive, yang
急	jí	quick, quickly; urgent, pressing
居	jū	live, dwell, reside, sit
环	huán	jade ring or bracelet; ring
树	shù	tree; plant; set up, establish
层	céng	storey, layer, floor, stratum
句	jù	sentence
简	jiǎn	simple, terse, succinct, a letter
卡	kǎ	card, punch card; calorie
担	dān	carry, bear, undertake
静	jìng	quiet, still, motionless; gentle
检	jiǎn	check; examine
差	chà	to differ; different, wrong; nearly, almost; an officer
角	jiǎo	horn; angle, corner; point
皮	pí	skin, hide, fur, feather; outer
啊	a	exclamatory particle
超	chāo	jump over, leap over; surpass
银	yín	silver; cash, money, wealth
怪	guài	strange, unusual, peculiar
香	xiāng	fragrant, sweet smelling, incense
铁	tiě	iron; strong, solid, firm
草	cǎo	grass, straw, thatch, herbs
脚	jiǎo	leg, foot; base, leg, foundation
酒	jiǔ	wine, spirits, liquor, alcoholic beverage
顾	gù	look back; look at; look after
换	huàn	change
闻	wén	hear; smell; make known; news
坏	huài	rotten, spoilt, bad, broken down
楚	chǔ	name of feudal state; clear
楼	lóu	building of two or more stories
画	huà	a painting, picture, drawing; to draw
耳	ěr	ear; merely, only; handle
短	duǎn	short; brief; deficient, lacking
遇	yù	meet, come across, encounter
康	kāng	peaceful, quiet; happy, healthy
旧	jiù	old, ancient; former, past
春	chūn	spring; wanton
附	fù	adhere to, append; rely on near to
礼	lǐ	social custom; manners; courtesy
板	bǎn	plank, board; iron or tin plate
婚	hūn	get married; marriage, wedding
鲜	xiān	fresh; delicious; attractive
词	cí	words; phrase, expression
择	zé	select, choose, pick out
健	jiàn	strong, robust, healthy; strength
借	jiè	borrow; lend; make pretext of
园	yuán	garden; park, orchard
牙	yá	tooth, molars, teeth; serrated
束	shù	bind, control, restrain; bale
练	liàn	to practice, drill, exercise, train
爷	yé	father, grandfather
嘴	zuǐ	mouth, lips
戏	xì	theatrical play, show
典	diǎn	law, canon; documentation; classic, scripture
盘	pán	tray, plate, dish; examine
忘	wàng	forget; neglect; miss, omit
赛	sài	compete, contend; contest, race
趣	qù	interest; interesting; fun
迎	yíng	receive, welcome, greet
冰	bīng	ice; ice-cold
努	nǔ	to exert, strive, make an effort; to pout
绿	lǜ	green; chlorine
街	jiē	street, road, thoroughfare
灯	dēng	lantern, lamp
夏	xià	summer; great, grand, big
秋	qiū	autumn, fall; year
末	mò	final, last, end; insignificant
蓝	lán	blue; indigo plant; surname
烧	shāo	burn; bake; heat; roast
哭	kū	weep, cry, wail
冒	mào	risk, brave, dare
惯	guàn	habit, custom; habitually, usual
鸟	niǎo	bird; KangXi radical 196
季	jì	quarter of year; season; surname
鼻	bí	nose; first; KangXi radical 209
腿	tuǐ	legs, thighs
迟	chí	late, tardy; slow; delay
辆	liàng	numerary adjunct for vehicles
净	jìng	clean, pure; cleanse
冬	dōng	winter, 11th lunar month
骑	qí	ride horseback; mount; cavalry
叔	shū	uncle (father's younger brother)
爬	pá	crawl, creep; climb; scramble
扫	sǎo	sweep, clear away; exterminate
箱	xiāng	case, box, chest, trunk
舒	shū	open up, unfold, stretch out; comfortable, easy
绩	jī	spin; achievements
饮	yǐn	drink; swallow; kind of drink
朵	duǒ	cluster of flowers; earlobe
鞋	xié	shoes, footwear in general
邮	yóu	postal, mail; post office
邻	lín	neighbor; neighborhood
